factor,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
BOPP开工率,-0.0629534057905708,-0.031131506041628995,0.013350446303243758,0.07180406852824518,0.19107899529014907,0.2424881765772668,0.2895956776244456,0.32546064080029696,0.3251441702668721,0.2885976842217349,0.24770265862472274,0.26388954035286083,0.22304139927931904
CTO成本,0.5454512259791001,0.545508576931306,0.5310382449129161,0.49454883493181906,0.491724692222197,0.5002628675654921,0.48511728001319676,0.4498556969701042,0.4374114471267664,0.42631813769576116,0.3653303373402067,0.29654441869139286,0.2764214664263444
GDP,0.5759893385620832,0.5879757732936076,0.5738195119780586,0.5562666178894509,0.5817426983333793,0.61133881791142,0.5965104444785134,0.570680444458754,0.5595523716006413,0.5159917710527813,0.47352155005916335,0.4258026200484109,0.3713830149112575
MTO成本,0.7917232021709636,0.7355182131301535,0.6815996503496503,0.5930860805860805,0.523905529953917,0.4397018458361663,0.3868852459016393,0.38032786885245906,0.39222676797194633,0.38736965148112834,0.3732823437905108,0.3533834586466166,0.31464646464646473
PDH成本,0.4629588431590656,0.3773399014778324,0.27586206896551724,0.1984126984126984,0.12957264957264958,0.04076923076923076,-0.047826086956521734,-0.18873517786561267,-0.3811405985319029,-0.46623376623376617,-0.5172932330827067,-0.5754385964912281,-0.5521155830753354
PP产量,0.10250730282375853,0.08966244725738397,0.06380684481950306,0.05058602906704173,0.05546179090482889,0.04779653070792312,0.07217533989685888,0.08326300984528834,0.09374120956399437,0.11940928270042193,0.13054383497421473,0.13900609470229724,0.15589094449853944
PP开工率,-0.2855702607885656,-0.253015869518426,-0.21470231981304935,-0.18845363061017628,-0.17542996346370707,-0.17667265098891113,-0.15622784015328878,-0.13304962946736243,-0.13583901821960265,-0.2055827211507329,-0.2585141756440928,-0.19586396682625998,-0.15115564611695384
PP石化库存,-0.07953586497890296,-0.17137834036568217,-0.216502578527895,-0.21155649320206282,-0.13045007032348804,0.0007969995311767464,0.008673230192217536,0.004711673699015471,-0.027215189873417724,-0.05182841068917018,-0.12135489920300048,-0.23305203938115332,-0.25818096577590255
PP进口量,0.11841398104651932,0.02532878121262345,-0.008743604920479025,-0.07044110666498517,-0.1136199813661175,-0.1293959763030676,-0.13100170535682848,-0.09966068718342243,-0.03838512883990456,0.015764274286922637,0.018588950943538515,0.03159887247400998,-0.07300792902099709
丙烯成本,0.8854130650237894,0.8526069655969519,0.7533565011644903,0.6149707862903672,0.47779229836907156,0.40562825615005094,0.363340150851005,0.33893775749385047,0.3022990055080362,0.2593076612073431,0.2047597559795825,0.1344006938647895,0.041502821747206736
乙烯成本,0.7285982184716362,0.6506572541382668,0.5528522110800591,0.4328303275671696,0.3420095693779905,0.2696728307254623,0.21350610884857454,0.14741453782549677,0.08527879606405557,0.034439973172367536,-0.032945499081445194,-0.09663865546218489,-0.136275146009085
塑编开工率,-0.10582373611125419,-0.10029913184297658,-0.1233945581789397,-0.08727885156374064,-0.0028971746184980433,0.029651010253421116,0.09826588761992171,0.15544403983227986,0.17799884920355227,0.1753802011615476,0.16989113982645737,0.11684194235078829,0.08461130015243792
排产比例,-0.02344116268166901,-0.1553680262541022,-0.18445850914205347,-0.2208157524613221,-0.19399906235349276,-0.20377402719174872,-0.253258321612752,-0.280239099859353,-0.2157993436474449,-0.18963900609470233,-0.199929676511955,-0.18260665729020162,-0.19666504381694255
期货价格,0.9717673630717111,0.8948051948051948,0.7383458646616541,0.5842105263157895,0.47368421052631576,0.35539215686274517,0.19411764705882353,-0.010714285714285713,-0.2175824175824176,-0.4230769230769231,-0.5454545454545455,,
检修损失,-0.08942035918019971,-0.08942035918019971,-0.051159149403577284,-0.032757654903723336,-0.019039906290173186,-0.13916569301195597,-0.26903921405231646,-0.2402113030530894,-0.08732831796195999,-0.01697507978705579,0.027768498429590824,0.0812844529288981,0.14774456575473588
