factor,first_usable,last_usable,available_months,missing_months,missing_rate
PP价格,2015-01,2021-07,79,0,0.0
期货价格,2019-11,2021-07,21,58,0.7341772151898734
丙烯成本,2015-01,2021-07,79,0,0.0
PDH成本,2019-03,2021-07,29,50,0.6329113924050633
乙烯成本,2015-01,2021-07,79,0,0.0
MTO成本,2016-02,2021-07,66,13,0.16455696202531644
CTO成本,2015-02,2021-07,78,1,0.012658227848101266
PP产量,2015-01,2021-07,79,0,0.0
PP进口量,2015-01,2021-06,78,1,0.012658227848101266
检修损失,2018-02,2021-07,42,37,0.46835443037974683
排产比例,2015-01,2021-07,79,0,0.0
PP石化库存,2015-01,2021-07,79,0,0.0
塑编开工率,2015-01,2021-07,79,0,0.0
PP开工率,2015-01,2021-07,79,0,0.0
BOPP开工率,2015-01,2021-07,79,0,0.0
GDP,2017-01,2021-07,55,24,0.3037974683544304
