model,cv_n_splits,cv_test_size,cv_Strength_F1_macro_mean,cv_Strength_F1_macro_std
ada_clf,3,6,0.2619047619047619,0.08473871628596279
knn_clf,3,6,0.15277777777777776,0.10936122047238626
gbr_clf,3,6,0.13373015873015873,0.007295546155099297
bagging_tree_clf,3,6,0.11666666666666665,0.11138854253201902
nb,3,6,0.08928571428571429,0.02525381361380527
svc_rbf,3,6,0.08095238095238096,0.01346870059402948
rf_clf,3,6,0.06944444444444443,0.05196746370519363
extra_trees_clf,3,6,0.06547619047619048,0.05120431706572992
logreg,3,6,0.05158730158730159,0.03680007339482422
