model,MAE,RMSE,MAPE,Accuracy,Precision,Recall,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
ensemble_topk_cv_weighted,474.0555990594104,559.7921540708712,0.053656330375554624,0.5714285714285714,0.5,0.3333333333333333,0.14285714285714285,0.2,0.05,0.08
lasso,450.08076032954443,565.373683741425,0.052001675000430916,0.5714285714285714,0.5,1.0,0.42857142857142855,0.35,0.3125,0.24285714285714285
ensemble_topk_mean,486.06130893362945,571.1654262456951,0.05497085056612883,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_cv_weighted,561.4820113629042,670.6397552590539,0.063428599065243,0.5714285714285714,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0625,0.07142857142857142
ensemble_mean,599.501217005777,719.1186322039259,0.06764583057567021,0.5714285714285714,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0625,0.07142857142857142
bayes_ridge,624.0775196315791,747.6573363727086,0.07069768004389859,0.7142857142857143,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
huber,624.0775196565774,747.6573363933335,0.07069768004679762,0.7142857142857143,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
ridge,639.1991675612719,765.2985262205352,0.0723991284743287,0.7142857142857143,1.0,0.3333333333333333,0.14285714285714285,0.1,0.05,0.06666666666666667
ensemble_trimmed_mean,660.2572434279164,771.3821499440076,0.07449620952687751,0.5714285714285714,0.0,0.0,0.14285714285714285,0.08333333333333333,0.0625,0.07142857142857142
knn,757.5227319767289,818.3106053447217,0.08579387743788935,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_median,747.9958038839903,826.635510916337,0.08458145295859054,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ada,765.7604229473493,870.2042458537461,0.08633171352765483,0.5714285714285714,0.0,0.0,0.14285714285714285,0.125,0.0625,0.08333333333333333
bagging_tree,792.3289776299879,875.0947302171653,0.08954945552587783,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
rf,817.2552904545961,895.0119417310951,0.09243430362307725,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
gbr,844.5938396752306,917.6558226819961,0.09561873635591682,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
svr_rbf,900.6873140310638,954.1631026617878,0.1022115489691954,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
extra_trees,1002.1703942550564,1126.384927840313,0.11332857698977061,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
elasticnet,1244.5576874583421,1328.761849601836,0.14395801676251146,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.25,0.0625,0.1
sarimax,11049.623145137162,12389.011334024104,1.2624210724498675,0.42857142857142855,0.4,0.6666666666666666,0.2857142857142857,0.1,0.25,0.14285714285714285
